Entrada	Xénero complementario	Categoría	Sinónimos	Nota
retranquear	  	 t 	recuar=> 	
reconco	  	 m 	recunco 	
recuperable	  	 a 	recuperábel 	
recuperábel	  	 a 	recuperable 	
recusable	  	 a 	recusábel 	
recusábel	  	 a 	recusable 	
refol	  	 m 	redefol> 	
redimible	  	 a 	redimíbel 	
redimíbel	  	 a 	redimible 	
arrenda	  	 f 	redra 	< arrendar2
arrendar2	  	 t 	redrar 	
redromeira	  	 f 	redroma 	
redroma	  	 f 	redromeira 	
reducible	  	 a 	reducíbel 	
reducíbel	  	 a 	reducible 	
redutible	  	 a 	redutíbel 	
redutíbel	  	 a 	redutible 	
reeducable	  	 a 	reeducábel 	
reeducábel	  	 a 	reeducable 	
reelixible	  	 a 	reelixíbel 	
reelixíbel	  	 a 	reelixible 	
reembolsable	  	 a 	reembolsábel 	
reembolsábel	  	 a 	reembolsable 	
rechear	  	 t 	reencher> 	
racha2	  	 f 	refacho> 	de vento
arrafén	  	 s 	refén 	
refinería	  	 f 	refinaría 	
refinaría	  	 f 	refinería 	
reflexar	  	 t pr 	reflectir> 	
reflexible	  	 a 	reflexíbel 	[ks]
reflexíbel	  	 a 	reflexible 	[ks]
reformable	  	 a 	reformábel 	
reformábel	  	 a 	reformable 	
refrinxencia	  	 f 	refractividade 	
refrinxente	  	 a 	refractivo 	
refranxible	  	 a 	refranxíbel 	
refranxíbel	  	 a 	refranxible 	
refreable	  	 a 	refreábel 	
refreábel	  	 a 	refreable 	
refractividade	  	 f 	refrinxencia 	
refractivo	 refractiva 	 a 	refrinxente 	
refutable	  	 a 	refutábel 	
refutábel	  	 a 	refutable 	
regato	  	 m 	regacho 	
arregalar	  	 t 	regalar> 	
regaliz	  	 m 	regalicia> 	
fenda	  	 f 	regaña 	
arregañar	  	 t i 	regañar=> 	
regacho	  	 m 	regato 	
mandilada	  	 f 	regazada 	
realengo	 realenga 	 a m 	reguengo> 	
regulable	  	 a 	regulábel 	
regulábel	  	 a 	regulable 	
rehabilitable	  	 a 	rehabilitábel 	
rehabilitábel	  	 a 	rehabilitable 	
reimpor	  	 t 	reimpoñer 	
reimpoñer	  	 t 	reimpor 	
reintegrable	  	 a 	reintegrábel 	
reintegrábel	  	 a 	reintegrable 	
barrosiña	  	 f 	reirrei 	
rousinol	  	 m 	reiseñor 	
reivindicable	  	 a 	reivindicábel 	
reivindicábel	  	 a 	reivindicable 	
ponente	  	 a s 	relator> 	
ponencia	  	 f 	relatorio> 	
remaquiar	  	 i 	relear 	
rilleira	  	 f 	relleira=> 	
trelo	  	 m 	rello1 	
reco	 reca 	 s 	relo1 rello2 	
cabezolo	  	 m 	relo3 	
reloxería	  	 f 	reloxaría 	
reloxaría	  	 f 	reloxería 	
talameira	  	 f 	remadoira 	
arremangar	  	 t pr 	remangar 	
relear	  	 i 	remaquiar 	
remediable	  	 a 	remediábel 	
remediábel	  	 a 	remediable 	
mendar	  	 t 	remendar 	
mendo1	  	 m 	remendo 	mendar
remisible	  	 a 	remisíbel 	
remisíbel	  	 a 	remisible 	
reacio	 reacia 	 a 	remiso> 	
remite	  	 s 	remitente> 	
rumiallo	  	 m 	remoallo 	
ubrada	  	 f 	remollada 	
ubre	  	 m 	remollo 	
removible	  	 a 	removíbel 	
removíbel	  	 a 	removible 	
remunerable	  	 a 	remunerábel 	
remunerábel	  	 a 	remunerable 	
renacencia	  	 f 	renacenza> 	
rendible	  	 a 	rendíbel 	
rendíbel	  	 a 	rendible 	
arrenegar	  	 t i 	renegar=> 	
renco	 renca 	 a 	rengo=> 	
Re	  	 sb 	renio 	
renovable	  	 a 	renovábel 	
renovábel	  	 a 	renovable 	
renunciable	  	 a 	renunciábel 	
renunciábel	  	 a 	renunciable 	
arrapañar	  	 t 	repañar=> 	
arrepañar	  	 t 	repañar=> 	
reparable	  	 a 	reparábel 	
reparábel	  	 a 	reparable 	
rapé2	  	 m 	repé> 	da rede
repetible	  	 a 	repetíbel 	
repetíbel	  	 a 	repetible 	
replicable	  	 a 	replicábel 	
replicábel	  	 a 	replicable 	
repor	  	 t pr 	repoñer 	
repoñer	  	 t pr 	repor 	
repostería	  	 f 	repostaría 	
repostaría	  	 f 	repostería 	
reprensible	  	 a 	reprensíbel 	
reprensíbel	  	 a 	reprensible 	
representable	  	 a 	representábel 	
representábel	  	 a 	representable 	
reprobable	  	 a 	reprobábel 	
reprobábel	  	 a 	reprobable 	
reprochable	  	 a 	reprochábel 	
reprochábel	  	 a 	reprochable 	
reproducible	  	 a 	reproducíbel 	
reproducíbel	  	 a 	reproducible 	
reptil	  	 m 	réptil> 	
arrequichar	  	 t 	requichar=> 	
saibo	  	 m 	resaibo 	
resarcible	  	 a 	resarcíbel 	
resarcíbel	  	 a 	resarcible 	
rescatable	  	 a 	rescatábel 	
rescatábel	  	 a 	rescatable 	
rescindible	  	 a 	rescindíbel 	
rescindíbel	  	 a 	rescindible 	
reservable	  	 a 	reservábel 	
reservábel	  	 a 	reservable 	
receso1	 recesa 	 a 	reseso> 	
recina	  	 f 	resina=> 	
recío	  	 m 	resío1=> 	
rexío	  	 m 	resío1=> 	
resistible	  	 a 	resistíbel 	
resistíbel	  	 a 	resistible 	
resoluble	  	 a 	resolúbel 	
resolúbel	  	 a 	resoluble 	
eco	  	 m 	resón 	
respectable	  	 a 	respectábel 	
respectábel	  	 a 	respectable 	
respirable	  	 a 	respirábel 	
respirábel	  	 a 	respirable 	
responsable	  	 a s 	responsábel 	
responsablemente	  	 av 	responsabelmente 	
responsábel	  	 a s 	responsable 	
responsabelmente	  	 av 	responsablemente 	
restaurable	  	 a 	restaurábel 	
restaurábel	  	 a 	restaurable 	
restra	  	 f 	reste 	
esterpa	  	 f 	restela 	
arrestrelar	  	 t 	restelar2=> 	
restituíble	  	 a 	restituíbel 	
restituíbel	  	 a 	restituíble 	
reste	  	 f 	restra 	
rastrelar	  	 t 	restrelar=> 	
restelar1	  	 t 	restrelar=> 	o liño
sedeiro	  	 m 	restrelo1 	
rastrelo	  	 m 	restrelo1=> 	
restelo1	  	 m 	restrelo1=> 	do liño
restelo2	  	 m 	restrelo2=> 	destelo
rastrollo	  	 m 	restrollo=> 	
retallable	  	 a 	retallábel 	
retallábel	  	 a 	retallable 	
retinxir	  	 t 	retinguir 	
retinguir	  	 t 	retinxir 	
retocable	  	 a 	retocábel 	
retocábel	  	 a 	retocable 	
retractable	  	 a 	retractábel 	
retractábel	  	 a 	retractable 	
socarronaría	  	 f 	retranca> 	
socarronería	  	 f 	retranca> 	
feed-back	  	 m 	retroacción> 	
revalidable	  	 a 	revalidábel 	
revalidábel	  	 a 	revalidable 	
revelable	  	 a 	revelábel 	
revelábel	  	 a 	revelable 	
revendible	  	 a 	revendíbel 	
revendíbel	  	 a 	revendible 	
reversible	  	 a 	reversíbel 	
reversíbel	  	 a 	reversible 	
antevéspera	  	 f 	revéspera 	
revisable	  	 a 	revisábel 	
revisábel	  	 a 	revisable 	
revogable	  	 a 	revogábel 	
revogábel	  	 a 	revogable 	
rexeitable	  	 a 	rexeitábel 	
rexeitábel	  	 a 	rexeitable 	
rechazo	  	 m 	rexeitamento=> 	
rechazar	  	 t 	rexeitar=> 	
rexistrable	  	 a 	rexistrábel 	
rexistrábel	  	 a 	rexistrable 	
resurximento	  	 m 	rexurdimento=> 	
resurxir	  	 i 	rexurdir=> 	
Rh2	  	 sb 	rhesus 	
ribeirao	 ribeirá 	 a s 	ribeirán 	só Ribeiro de Avia
ribeirense	  	 a s 	ribeirán 	Ribeira
ribeirán	 ribeirá 	 a s 	ribeirense ribeirao (Ourense) 	
ricino	  	 m 	rícino> 	
rinle	  	 m 	ril=> 	
rino-	  	 pref 	rin- 	gr 'nariz'
rin-	  	 pref 	rino- 	gr 'nariz'
ripia	  	 f 	ripa1=> 	
ripo	  	 m 	ripanzo ripa3 	
ripanzo	  	 m 	ripo ripa3 	
ripa3	  	 f 	ripo ripanzo 	
riso	  	 m 	risa 	
rasgo	  	 m 	risco1> trazo> 	
risible	  	 a 	risíbel 	
risíbel	  	 a 	risible 	
risa	  	 f 	riso 	
albaroque	  	 m 	robra 	
roquil	  	 m 	rocón 	
rodal	  	 f 	rodada 	
rodada	  	 f 	rodal 	roda2
arrodear2	  	 t i pr 	rodear 	
arrodeo	  	 m 	rodeo 	< arrodear2
reducio	  	 m 	rodicio=> 	
rodecio	  	 m 	rodicio=> 	
Rh1	  	 sb 	rodio 	
R	  	 sb 	roentgen 	
röntgen	  	 m 	roentgen 	
Rg	  	 sb 	roentgenio 	
rubién	  	 f 	roibén 	
rubio	 rubia 	 a s 	roibo 	
rula	  	 f 	rola2 	ave
ronda	  	 f 	rolda=> 	
rondador	  	 m 	roldador=> 	
rondar	  	 t 	roldar=> 	
rebolos,a	  	 lav 	rolos, a 	
arromanzar	  	 t 	romancear 	
rousar	  	 t i 	roncear 	
verme	  	 m 	ronco1 	
roentgen	  	 m 	röntgen 	
rocón	  	 m 	roquil 	
rocío	  	 m 	rosada> 	
derrota1	  	 f 	rota1 	
ronco2	 ronca 	 a 	rouco> 	
arrolar2	  	 t i 	roular2 	< roda
ronqueira	  	 f 	rouquén> 	
roncear	  	 t i 	rousar 	
arrousar	  	 t 	rousar> 	
reiseñor	  	 m 	rousinol 	
rexelo	  	 m 	roxelo=> 	
recelo	  	 m 	roxelo> 	
rexón	  	 m 	roxón=> 	
rinchón2	  	 m 	roxón=> 	
rixón	  	 m 	roxón=> 	
Rb	  	 sb 	rubidio 	
roibén	  	 f 	rubién 	
roibo	 roiba 	 a s 	rubio 	
rola2	  	 f 	rula 	
remoallo	  	 m 	rumiallo 	
bielorruso	 bielorrusa 	 a s 	ruso-branco 	Bielorrusia (Eu)
Ru	  	 sb 	rutenio 	
rutinario	 rutinaria 	 a 	rutineiro> 	
lapón2	 lapoa 	 a s 	saami> 	
sable1	  	 m 	sabre> 	arma
xabre1	  	 m 	sábrego 	
bieiteiro	  	 m 	sabugueiro 	
sacarificable	  	 a 	sacarificábel 	
sacarificábel	  	 a 	sacarificable 	
sachega	  	 f 	sacha2 	
sacha2	  	 f 	sachega 	sachar
saciable	  	 a 	saciábel 	
saciábel	  	 a 	saciable 	
sacrificable	  	 a 	sacrificábel 	
sacrificábel	  	 a 	sacrificable 	
resaibo	  	 m 	saibo 	
salpedrés	  	 m 	salabreada 	
salpedrar	  	 i 	salabrear 	
saldable	  	 a 	saldábel 	
saldábel	  	 a 	saldable 	
salientable	  	 a 	salientábel 	
salientábel	  	 a 	salientable 	
salificable	  	 a 	salificábel 	
salificábel	  	 a 	salificable 	
helmántico	 helmántica 	 a s 	salmantino 	Salamanca
moira	  	 f 	salmoira 	
impar1	  	 i 	saloucar salucar sotelar 	
impo	  	 m 	salouco saluco sotelo 	
salabrear	  	 i 	salpedrar 	
salabreada	  	 f 	salpedrés 	
salvable	  	 a 	salvábel 	
salvábel	  	 a 	salvable 	
Sm	  	 sb 	samario 	
samesuga	  	 f 	sambesuga 	
sambesuga	  	 f 	samesuga 	
pauleiro	 pauleira 	 a s 	sampauleiro 	São Paulo (Brasil)
sacristán	 sacristá 	 s 	sancristán=> 	
sacristanía	  	 f 	sancristanía=> 	
sacristía	  	 f 	sancristía=> 	
sandable	  	 a 	sandábel 	
sandábel	  	 a 	sandable 	
saneable	  	 a 	saneábel 	
saneábel	  	 a 	saneable 	
compostelán	 compostelá 	 a s 	santiagués 	
santiño	  	 m 	santiña 	
santiña	  	 f 	santiño 	
san1	  	 am 	santo 	
tartaruga	  	 f 	sapoconcho 	
saponificable	  	 a 	saponificábel 	
saponificábel	  	 a 	saponificable 	
graínzo	  	 m 	sarabia pedrazo 	
saragana	  	 f 	sarabia=> 	
saraiba	  	 f 	sarabia=> 	
saraganada	  	 f 	sarabiada=> 	
saraibada	  	 f 	sarabiada=> 	
xarapada	  	 f 	sarabiada=> 	
saraibar	  	 i 	sarabiar=> 	
sarabullo	  	 m 	sarabullazo 	
sarabullazo	  	 m 	sarabullo 	
samargo	  	 m 	saramago=> 	
xaramago	  	 m 	saramago=> 	
xarampón	  	 m 	sarampelo 	
zarcelo	  	 m 	sarcelo=> 	
cercelo	  	 m 	sarcelo> 	
sarnoso	 sarnosa 	 a 	sarnento 	
sarnento	 sarnenta 	 a 	sarnoso 	
charrizo	  	 m 	sarrio 	cf feluxe parruma
xarxa	  	 f 	sarxa 	
saturable	  	 a 	saturábel 	
saturábel	  	 a 	saturable 	
saudable	  	 a 	saudábel 	
saudábel	  	 a 	saudable 	
saxofón	  	 m 	saxo 	[ks]
saxo	  	 m 	saxofón 	[ks]
senra	  	 f 	seara 	
secano	  	 m 	secaño> 	
sequidade	  	 f 	secura 	
serda	  	 f 	seda=> 	
restrelo1	  	 m 	sedeiro 	lat rastellum
seducible	  	 a 	seducíbel 	
seducíbel	  	 a 	seducible 	
seitura	  	 f 	sega 	
segmentable	  	 a 	segmentábel 	
segmentábel	  	 a 	segmentable 	
seglar	  	 a s 	segrar> 	
segregable	  	 a 	segregábel 	
segregábel	  	 a 	segregable 	
secta	  	 f 	seita2> 	
sega	  	 f 	seitura 	
xeixo	  	 m 	seixo=> 	
Se	  	 sb 	selenio 	
senlleiro	 senlleira 	 a 	selleiro 	
semipermeable	  	 a 	semipermeábel 	
semipermeábel	  	 a 	semipermeable 	
vidalla	  	 f 	sen1 tempa 	
tempa	  	 f 	sen1 vidalla 	
cen2	  	 f 	sen1> 	
asén	  	 f 	sen2> 	
carreiro1	  	 m 	sendeiro 	
selleiro1	 selleira 	 a 	senlleiro 	
Sr.	  	 abrev 	señor 	
Sra.	  	 abrev 	señora 	
seara	  	 f 	senra 	
ensenrada	  	 f 	senrada 	
sensible	  	 a 	sensíbel 	
sensiblemente	  	 av 	sensibelmente 	
sensíbel	  	 a 	sensible 	
sensibelmente	  	 av 	sensiblemente 	
sentencia	  	 f 	sentenza> 	
senso	  	 m 	sentido 	
centinela	  	 s 	sentinela> 	
separable	  	 a 	separábel 	
separábel	  	 a 	separable 	
magnesita	  	 f 	sepiolita 	
secura	  	 f 	sequidade 	
serrín	  	 m 	serraduras> 	
pasantía	  	 f 	serventía 	
servible	  	 a 	servíbel 	
servíbel	  	 a 	servible 	
servicial	  	 a 	servizal> 	
servicio	  	 m 	servizo> 	
sexaxenario	 sexaxenaria 	 a s 	sesaxenario 	[ks]
sexaxesimal	  	 a 	sesaxesimal 	[ks]
sexaxésimo	 sexaxésima 	 a s 	sesaxésimo 	[ks]
hispalense	  	 a s 	sevillano 	Sevilla
sesaxenario	 sesaxenaria 	 a s 	sexaxenario 	
sesaxesimal	  	 a 	sexaxesimal 	
sesaxésimo	 sesaxésima 	 a s 	sexaxésimo 	
sin-	  	 pref 	si- sim- 	gr 'con'
sim-	  	 pref 	si- sin- 	gr 'con'
S3	  	 sb 	siemens 	
lúes	  	 f 	sífilis 	
silenciosamente	  	 av 	silandeiramente 	
silencioso	 silenciosa 	 a 	silandeiro 	
silandeiramente	  	 av 	silenciosamente 	
silandeiro	 silandeira 	 a 	silencioso 	
Si	  	 sb 	silicio 	
silvita	  	 f 	silvina 	
silvina	  	 f 	silvita 	
si-	  	 pref 	sim- sin- 	gr 'con'
simplificable	  	 a 	simplificábel 	
simplificábel	  	 a 	simplificable 	
asinatura	  	 f 	sinatura> 	
sintetizable	  	 a 	sintetizábel 	
sintetizábel	  	 a 	sintetizable 	
inxel	  	 a 	sinxelo> 	
cipaio	  	 m 	sipaio> 	
xira2	  	 f 	sira=> 	
seísmo	  	 m 	sismo=> 	
situable	  	 a 	situábel 	
situábel	  	 a 	situable 	
solar1	  	 m 	soar2> terreo edificable> 	
sarego	  	 m 	soarego=> 	
sobrazo	  	 m 	sobaco 	
sobaco	  	 m 	sobrazo 	
sobor	  	 pp 	sobre=> 	
sobreexcitable	  	 a 	sobreexcitábel 	
sobreexcitábel	  	 a 	sobreexcitable 	
sobreexpor	  	 t 	sobreexpoñer 	
sobreexpoñer	  	 t 	sobreexpor 	
postre	  	 m 	sobremesa> 	
sobrepor	  	 t pr 	sobrepoñer 	
sobrepoñer	  	 t pr 	sobrepor 	
sobresaliente	  	 a m 	sobresaínte 	
sobresaínte	  	 a m 	sobresaliente 	
sobrevindo	 sobrevinda 	 pt 	sobrevido 	
sobrevido	 sobrevida 	 pt 	sobrevindo 	
sucalco	  	 m 	socalco=> 	
socato,de	  	 lav 	socate, de 	
socate,de	  	 lav 	socato, de 	
sociable	  	 a 	sociábel 	
sociábel	  	 a 	sociable 	
Na	  	 sb 	sodio 	
sofrixir	  	 t 	sofritir 	
sofritir	  	 t 	sofrixir 	
saudade	  	 f 	soidade=> 	
saudoso	 saudosa 	 a 	soidoso=> 	
soldable	  	 a 	soldábel 	
soldábel	  	 a 	soldable 	
larmeiro	 larmeira 	 a 	solermeiro> 	
deletrear	  	 t 	soletrear 	
solidificable	  	 a 	solidificábel 	
solidificábel	  	 a 	solidificable 	
gabita	  	 f 	soliño 	
soluble	  	 a 	solúbel 	
solúbel	  	 a 	soluble 	
solucionable	  	 a 	solucionábel 	
solucionábel	  	 a 	solucionable 	
sorrello	  	 m 	soma1 	
barbullo	  	 m 	somadoiro asucadoiro 	
sombreirería	  	 f 	sombreiraría 	
sombreiraría	  	 f 	sombreirería 	
sumerxir	  	 t pr 	somerxer> 	
somerxible	  	 a 	somerxíbel 	
somerxíbel	  	 a 	somerxible 	
sonámbulo	 sonámbula 	 a s 	somnámbulo> 	
playback	  	 m 	son pregravado> 	ing
sonido	  	 m 	son> 	
sondable	  	 a 	sondábel 	
sondábel	  	 a 	sondable 	
soportable	  	 a 	soportábel 	
soportábel	  	 a 	soportable 	
porche	  	 m 	soportal> 	
postallo	  	 m 	sopostallo tentemozo 	
asoprar	  	 i 	soprar> 	
soma1	  	 f 	sorrello 	do rego
sorteable	  	 a 	sorteábel 	
sorteábel	  	 a 	sorteable 	
asosegar	  	 t i pr 	sosegar> 	
sostible	  	 a 	sostíbel 	
sostíbel	  	 a 	sostible 	
espaguete	  	 m 	spaghetti 	
subexpor	  	 t 	subexpoñer 	
subexpoñer	  	 t 	subexpor 	
suliñar	  	 t 	subliñar=> 	
subministrable	  	 a 	subministrábel 	
subministrábel	  	 a 	subministrable 	
suministrar	  	 t 	subministrar> 	
subornable	  	 a 	subornábel 	
subornábel	  	 a 	subornable 	
sobornar	  	 t 	subornar> 	
substantivable	  	 a 	substantivábel 	
substantivábel	  	 a 	substantivable 	
substituíble	  	 a 	substituíbel 	
substituíbel	  	 a 	substituíble 	
reemprazar	  	 t 	substituír> 	
substraer	  	 t pr 	subtraer> 	
asucar	  	 t 	sucar 	
sucesible	  	 a 	sucesíbel 	
sucesíbel	  	 a 	sucesible 	
sofocar	  	 t pr 	sufocar> 	
sufrible	  	 a 	sufríbel 	
sufríbel	  	 a 	sufrible 	
sofrer	  	 t i 	sufrir=> 	
sumable	  	 a 	sumábel 	
sumábel	  	 a 	sumable 	
superable	  	 a 	superábel 	
superábel	  	 a 	superable 	
superpor	  	 t 	superpoñer 	
superpoñer	  	 t 	superpor 	
surrealismo	  	 m 	superrealismo 	
surrealista	  	 a s 	superrealista 	
supor	  	 t 	supoñer 	
supoñer	  	 t 	supor 	
suprasensible	  	 a 	suprasensíbel 	
suprasensíbel	  	 a 	suprasensible 	
suprimible	  	 a 	suprimíbel 	
suprimíbel	  	 a 	suprimible 	
S1	  	 abrev 	sur 	
suriemenita	  	 a s 	suriemení 	Iemen do sur (As)
suriemení	  	 a s 	suriemenita 	Iemen do Sur (As)
susceptible	  	 a 	susceptíbel 	
susceptíbel	  	 a 	susceptible 	
sustentable	  	 a 	sustentábel 	
sustentábel	  	 a 	sustentable 	
suxerencia	  	 f 	suxestión> 	
suxestionable	  	 a 	suxestionábel 	
suxestionábel	  	 a 	suxestionable 	
esbarrar	  	 t i 	t estrelar i esvarar 	
moscardo	  	 m 	tabán 	
chata	  	 f 	tacha=> 	
tafurería	  	 f 	tafuraría 	
tafuraría	  	 f 	tafurería 	
talabartería	  	 f 	talabartaría 	
talabartaría	  	 f 	talabartería 	
remadoira	  	 f 	talameira 	
Tl	  	 sb 	talio 	
tina	  	 f 	talla2> 	
talvez	  	 lav 	talvez> 	
tamanco	  	 m 	tamanca zamanco 	
zamanco	  	 m 	tamanco tamanca 	
tamanca	  	 f 	tamanco zamanco 	
toromballo	  	 m 	tambullo tarambollo 	
tarambollo	  	 m 	tambullo toromballo 	
zangonear	  	 i 	tangonear 	
tanxer	  	 t 	tanguer 	
Ta	  	 sb 	tantalio 	
tanguer	  	 t 	tanxer 	
tanxible	  	 a 	tanxíbel 	
tanxíbel	  	 a 	tanxible 	
tapafurados	  	 s 	tapaburatos 	
tapacús	  	 m 	tapaconas 	
chapacuña	  	 f 	tapacuña 	
tapaconas	  	 m 	tapacús 	
tapaburatos	  	 s 	tapafurados 	
tapizaría	  	 f 	tapicería 	
tapicería	  	 f 	tapizaría 	
trabelo	  	 m 	tarabelo1 	
tambullo	  	 m 	tarambollo toromballo 	
atarraxar	  	 t 	tarraxar> 	
gaguexar	  	 i 	tartamudear tatabexar tatexar zarabetear 	
gago	 gaga 	 a s 	tartamudo tatabexo tatexo tato zarabeto zarzallo2 	
tartrato	  	 m 	tartarato> 	
sapoconcho	  	 m 	tartaruga 	
espadelador	 espadeladora 	 a s 	tascador 	
espadelar	  	 t 	tascar 	
isócrono	 isócrona 	 a 	tautócrono 	
tasa	  	 f 	taxa> 	
taxable	  	 a 	taxábel 	
taxábel	  	 a 	taxable 	
taxo-	  	 pref 	taxi- 	[ks] gr 'arranxo'
taxonomía	  	 f 	taxinomía 	[ks]
taxonómico	 taxonómica 	 a 	taxinómico 	[ks]
taxonomista	  	 s 	taxinomista 	[ks]
taxi-	  	 pref 	taxo- 	[ks] gr 'arranxo'
taxinomía	  	 f 	taxonomía 	[ks]
taxinómico	 taxinómica 	 a 	taxonómico 	[ks]
taxinomista	  	 s 	taxonomista 	[ks]
teaza	  	 f 	teaxe 	
teaxe	  	 f 	teaza 	
Tc	  	 sb 	tecnecio 	
tele	  	 f 	televisión 	
Te	  	 sb 	telurio 	
temoroso	 temorosa 	 a 	temeroso 	
temible	  	 a 	temíbel 	
temíbel	  	 a 	temible 	
tamoeiro	  	 m 	temoeiro=> 	
timón	  	 m 	temón=> 	
temeroso	 temerosa 	 a 	temoroso 	
sen1	  	 f 	tempa vidalla 	
temporán	 temporá 	 a 	temperán 	
atemperar	  	 t i pr 	temperar> 	
temperán	 temperá 	 a 	temporán 	
tenazas	  	 fpl 	tenaces=> 	
terno2	 terna 	 a 	tenro> 	
stress	  	 m 	tensión> estrés> 	ing
atentar2	  	 t 	tentar> 	tentación
tantear	  	 t 	tentear> 	
Tb	  	 sb 	terbio 	
término	  	 m 	termo=> 	
grima	  	 f 	terrexío 	
terrible	  	 a 	terríbel 	
terriblemente	  	 av 	terribelmente 	
terríbel	  	 a 	terrible 	
terribelmente	  	 av 	terriblemente 	
torrón	  	 m 	terrón> 	
turolense	  	 a s 	teruelés 	Teruel
terciá	  	 af f 	terzá> 	
terciado	 terciada 	 a 	terzado> 	
terciar	  	 t i pr 	terzar> 	
tercio	 tercia 	 a s 	terzo> 	
tesourería	  	 f 	tesouraría 	
tesouraría	  	 f 	tesourería 	
testudo	 testuda 	 a s 	testalán testán 	
testán	 testana 	 a s 	testalán testudo 	
terco	 terca 	 a s 	testalán> testán> testudo> 	
testalán	 testalana 	 a s 	testán testudo 	
pontevedrés	 pontevedresa 	 a s 	teucro 	Pontevedra
tudesco	 tudesca 	 a s 	teutón 	Xermania
tu	  	 p 	ti=> 	
tiflo-	  	 pref 	tifl- 	gr 'cego'
tifl-	  	 pref 	tiflo- 	gr 'cego'
tinte	  	 m 	tinguidura> 	
tinxir	  	 t i pr 	tinguir 	
tinturería	  	 f 	tinturaría 	
tinturaría	  	 f 	tinturería 	
tinguir	  	 t i pr 	tinxir 	
titío	 titía 	 s 	tío 	
tirapedras	  	 m 	tiracoios tiracroios 	
tiracroios	  	 m 	tiracoios tirapedras 	
tiracoios	  	 m 	tiracroios tirapedras 	
fonda2	  	 f 	tirafonda 	
tiro-	  	 pref 	tireo- 	tiroide
orizó	  	 m 	tirizó 	
tricó	  	 m 	tirizó=> 	
tireo-	  	 pref 	tiro- 	tiroide
chisnar	  	 t i pr 	tisnar 	
Ti	  	 sb 	titanio 	
tío	 tía 	 s 	titío 	
tixola	  	 f 	tixela 	
tixolada	  	 f 	tixelada 	
tixela	  	 f 	tixola 	
tixelada	  	 f 	tixolada 	
tronada	  	 f 	toa 	
tronar	  	 i 	toar 	
touba	  	 f 	toba=> 	
toba	  	 f 	tobo 	
tocable	  	 a 	tocábel 	
tocábel	  	 a 	tocable 	
coto1	  	 m 	toco1 coza1 cozo 	
tolería	  	 f 	tolaría 	
atoldar	  	 t pr 	toldar 	
tolerable	  	 a 	tolerábel 	
tolerábel	  	 a 	tolerable 	
tolaría	  	 f 	tolería 	
cazón	  	 m 	tollo 	
tomable	  	 a 	tomábel 	
tomábel	  	 a 	tomable 	
tumba2	  	 f 	tomba=> 	
tumbar	  	 t i pr 	tombar=> 	
marsopa	  	 f 	toniña=> 	
touliña	  	 f 	toniña=> 	
toquear	  	 i 	topenear 	
tupé	  	 m 	topete> 	
topenear	  	 i 	toquear 	
cotelear	  	 i 	toquenear 	
coteleo	  	 m 	toqueneo 	
treboada	  	 f 	torboada 	
trebón	  	 m 	torbón 	
porca	  	 f 	torca 	cast tuerca
trogallo	  	 m 	torgallo> 	
atragoar	  	 pr 	torgar 	
Th	  	 sb 	torio 	
trambollo	  	 m 	toromballo=> 	
turreiro	  	 m 	torreiro> 	
torrisco	  	 m 	torresmo torrezo 	
torrezo	  	 m 	torresmo torrisco 	
torresmo	  	 m 	torrezo torrisco 	
tarta	  	 f 	torta> 	
toca	  	 f 	touca> 	
tocado2	  	 m 	toucado> 	
tocador2	  	 m 	toucador> 	
teipa	  	 f 	toupa=> 	
teupa	  	 f 	toupa=> 	
tiopa	  	 f 	toupa=> 	
toupo	  	 m 	toupa=> 	
toupiñeira	  	 f 	toupeira 	
toupeira	  	 f 	toupiñeira 	
turón	  	 m 	tourón> 	
tarabelo1	  	 m 	trabelo 	lat trabem
trado	  	 m 	trade=> 	
traducible	  	 a 	traducíbel 	
traducíbel	  	 a 	traducible 	
tragable	  	 a 	tragábel 	
tragábel	  	 a 	tragable 	
traición	  	 f 	traizón> 	
trastallar	  	 t pr 	trallar 	
trasmallo	  	 m 	tramallo 	
atrancallo	  	 m 	trancallo 	
atrancar	  	 t pr 	trancar 	
trancho	  	 m 	trancha 	
trancha	  	 f 	trancho 	
tarandeira	  	 f 	trandeira=> 	
transferible	  	 a 	transferíbel 	
transferíbel	  	 a 	transferible 	
transfigurable	  	 a 	transfigurábel 	
transfigurábel	  	 a 	transfigurable 	
transformable	  	 a 	transformábel 	
transformábel	  	 a 	transformable 	
transitable	  	 a 	transitábel 	
transitábel	  	 a 	transitable 	
transmisible	  	 a 	transmisíbel 	
transmisíbel	  	 a 	transmisible 	
trasmontano	 trasmontana 	 a s 	transmontano 	Tras-os-Montes (Port)
transmutable	  	 a 	transmutábel 	
transmutábel	  	 a 	transmutable 	
trance	  	 m 	transo> 	
transportable	  	 a 	transportábel 	
transportábel	  	 a 	transportable 	
escotilla	  	 f 	trapela=> zapón=> 	
trafega	  	 f 	trasfega=> 	
trafegar	  	 t 	trasfegar=> 	
morillo	  	 m 	trasfogueiro> 	
trasnada	  	 f 	trasgada 	
trasno	  	 m 	trasgo 	
tramallo	  	 m 	trasmallo 	
transmontano	 transmontana 	 a s 	trasmontano 	Tras-os-Montes (Port)
trasgada	  	 f 	trasnada 	
trasgo	  	 m 	trasno 	
traspor	  	 t pr 	traspoñer 	
